Density,Sample,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity
0.01,51,0.187,0.122,0.004,4.429E-4
0.01,52,0.187,0.122,0.004,4.278E-4
0.01,53,0.189,0.123,0.004,4.297E-4
0.01,54,0.187,0.122,0.004,4.410E-4
0.01,55,0.187,0.122,0.004,4.278E-4
0.01,56,0.186,0.121,0.004,4.372E-4
0.01,57,0.187,0.122,0.004,4.259E-4
0.01,58,0.185,0.122,0.004,4.410E-4
0.01,59,0.185,0.122,0.004,4.448E-4
0.02,41,0.328,0.178,0.005,3.750E-4
0.02,42,0.324,0.177,0.005,3.828E-4
0.02,43,0.326,0.177,0.005,3.594E-4
0.02,44,0.330,0.178,0.005,3.633E-4
0.02,45,0.328,0.176,0.005,3.398E-4
0.02,46,0.329,0.176,0.005,3.535E-4
0.02,47,0.328,0.175,0.005,3.867E-4
0.02,48,0.332,0.177,0.005,3.789E-4
0.02,49,0.329,0.176,0.005,3.359E-4
0.02,50,0.330,0.177,0.005,3.691E-4
0.03,16,0.433,0.198,0.003,-6.997E-5
0.03,17,0.435,0.200,0.003,-8.163E-5
0.03,18,0.432,0.197,0.003,-4.082E-5
0.03,19,0.432,0.201,0.004,-5.248E-5
0.03,20,0.434,0.201,0.004,-4.665E-5
0.03,21,0.433,0.200,0.003,-4.665E-5
0.03,22,0.435,0.200,0.003,-4.665E-5
0.03,23,0.435,0.199,0.003,-3.499E-5
0.03,24,0.430,0.197,0.003,-2.915E-5
0.03,25,0.427,0.199,0.003,-4.665E-5
0.04,16,0.568,0.209,0.001,-4.883E-4
0.04,17,0.569,0.208,0.001,-4.501E-4
0.04,18,0.567,0.206,0.001,-4.730E-4
0.04,19,0.568,0.206,0.001,-4.730E-4
0.04,20,0.568,0.207,0.001,-5.035E-4
0.04,21,0.570,0.208,0.001,-4.425E-4
0.04,22,0.569,0.208,0.001,-4.730E-4
0.04,23,0.567,0.206,0.001,-4.578E-4
0.04,24,0.568,0.205,0.001,-5.035E-4
0,04,25,0.569,0.205,0.001,-4.883E-4
0.05,15,0.666,0.206,8.120E-6,-5.638E-4
0.05,16,0.665,0.207,2.805E-5,-5.125E-4
0.05,17,0.664,0.207,-1.151E-4,-5.535E-4
0.05,18,0.660,0.206,5.713E-5,-5.535E-4
0.05,19,0.660,0.206,-5.412E-5,-5.945E-4
0.05,20,0.666,0.208,1.771E-4,-5.330E-4
0.05,21,0.657,0.206,2.041E-4,-5.330E-4
0.05,22,0.658,0.208,1.745E-4,-5.125E-4
0.05,23,0.662,0.208,2.166E-4,-5.228E-4
0.05,24,0.662,0.208,1.274E-4,-5.638E-4
0.06,15,0.737,0.187,-0.002,-5.335E-4
0.06,16,0.732,0.187,-0.002,-6.351E-4
0.06,17,0.736,0.187,-0.002,-6.097E-4
0.06,18,0.735,0.189,-0.002,-6.097E-4
0.06,19,0.735,0.185,-0.002,-6.859E-4
0.06,20,0.736,0.187,-0.002,-6.097E-4
0.06,21,0.732,0.184,-0.002,-5.843E-4
0.06,22,0.736,0.188,-0.002,-6.097E-4
0.06,23,0.737,0.186,-0.002,-6.097E-4
0.06,24,0.735,0.187,-0.002,-5.970E-4
